text,hotel-general,bathroom-general,hotel-atmosphere,bathroom-atmosphere,hotel-cleanliness,bathroom-cleanliness,hotel-facilities,bathroom-facilities,hotel-location,bed-general,hotel-price,bed-cleanliness,room-general,catering-general,room-atmosphere,catering-price,room-cleanliness,parking,room-facilities,staff
[DISLIKED] Bath not clean quite a few long hairs in it Only noticed later hairs also on floor behind bathroom door and taps _x000D_Staff not very helpful _x000D_Very noisy road until 1 30am _x000D_People talking and smoking under our windows smoke continually blowing in until -1am _x000D_Hairdryer not working properly as plug wires loose reported on check out _x000D_Coffee tea cups still had lipstick on one and coffee on outside of other no spoon either _x000D_1 toilet roll only which ran out early in the morning _x000D_Curtains missing hooks so difficult to close open,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
[DISLIKED] Er is geen ventilator en als dat nodig is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] Q mis toallas estaban viejas y rotas el primer día q no era el cuarto q elegí en línea y otras veces q mne hospedado allí no me había pasado esto mi cuarto era pequeño la secadora no funcionaba estaba rotas las paredes y oxidadas las orillas de las puertas M dieron una secadora el tercer día prestada Y toallas en mejor estado Dijieron cámbiarme de cuarto y no lo hicieron espero mejoren siempre q vamos a la ciudad de México nos hosprdamos allío esposo y yo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
[LIKED] Il letto comodo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"[DISLIKED] We betaalden voor een extra persoon op de slaapbank in onze kamer, die voor 70 extra woekerprijzen was, aangezien dit een slaapbank is en de kamer erg krap was met 4 kleine flesjes frisdrank 4 pakjes chips en 2 repen chocolade in bar 35, wat een schandelijke afzetterij is",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[DISLIKED] Traga luz mucha claridad de noche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[LIKED] tout était bien l emplacement l amabilité des personnels le confort de la chambre,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
[DISLIKED] Condiciones relativas al coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] Las habitaciones y el baño son muy pequeñas no tenian toalla de manos_x000D_La relación calidad y precio no van si deseas descansar más agusto es mejor buscar otras opciones,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
[LIKED] El baño ha sido reformado y limpio.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] La ubicación en el centro es perfecta Habitaciones confortables Todo está nuevo y perfecto,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"[DISLIKED] manca una rete per il letto in mansarda, quindi molto rumore",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"[DISLIKED] De airconditioning bleef de hele nacht als een motor klinken en we vonden het geen comfortabele situatie. We werden wakker met veel hoofdpijn en gebrek aan slaap. Zoals ik al in een bericht aan het hotel heb vermeld, is dit niet een van de verwachtingen van een viersterrenhotel midden in de Gran Vía, laat staan ​​de prijs die u betaalt voor een goede nachtrust.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[LIKED] Het was een goed verblijf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Todo ubicación comodidad infraestructura desde luego me gustaría que fuese mi casa en Madrid Está todo pensado al detalle,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
[LIKED] La situation géographique l ambiance chaleureuse de la chambre et le personnel agréable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
[LIKED] Esta muy limpio todo las instalaciones muy bien y bonitas,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Reinigung der Zimmer mehrfach nur nach Aufforderung Reinigung Outgesourced - Zimmer nicht gereinigt sondern nur Mülleimer geleert Betten mehr schlecht als Recht gemacht Betten in normalem Doppelzimmer zu schmal für einen erholsamen Schlaf zu zweit Fast immer lange Schlangen an der Rezeption bedingt durch die Größe des Hotels Zu knappes Personal zu Stoßzeiten beim Frühstück zum Abräumen keine freien Tische mehr,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
[LIKED] DESAYUNO BIEN Y LA UBICACION LO MEJOR,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
[LIKED] Lit confortable chambre spacieuse et lumineuse déco agréable On apprécie le mini réfrigérateur dans la chambre Personnel accueillant à l arrivée,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
[LIKED] Der Eingangsbereich ist dreckig und eine Baustelle Die Flure recht dunkel lang und verwinkelt Das Zimmer wirkt vollgestellt und hat definitiv schon bessere Tage gesehen Die Gardinen sind zerrissen und das Waschbecken in Bad ist gesprungen,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[DISLIKED] Aus hygienischen Gründen ist das Frühstück nicht gestattet. Leichter Platzmangel zwischen den Badezimmern und der Dusche.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Pues la ubicación es genial el desayuno más o menos,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
[LIKED] Kostenloses Ticket für ÖPNV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] El hecho de que mi coche fue atropellado dos veces en el aparcamiento y las huellas aún son claramente visibles. Ninguno de los perpetradores se atribuyó la responsabilidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[LIKED] La proximité de l hôtel de tout,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[LIKED] die Lage direkt am Hermannplatz isst sehr praktisch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] El desayuno que viene incluído con la estancia está bastante pobre mi recomendación es tener más opciones de comida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[LIKED] Am Bristol das wir wir schon zu Kempinski Zeiten mehrmals im Jahr besucht haben stimmt einfach die Mischung aus Klassik und Moderne Schick und Bodenhaftung Vor allem das Personal - und da im Besonderen Herr Mai vom Pool und Marco aus der Piano Bar - ist jedesmal die Reise wert Danke für den tollen Aufenthalt -,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[LIKED] La amabilidad de las personas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] Breakfast is a bit expensive.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[LIKED] De netheid van de kamer en de beveiliging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[DISLIKED] No habían fumigado las habitaciones había muchos mosquitos apenas nos dejaron dormir y acabamos con un montón de picaduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[DISLIKED] I couldn t work out how to turn on heating In the evening I felt cold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
[DISLIKED] Hace frio en las habitaciones aun con la calefaccion al maximo plaza de parking en la puerta del hotel muy pequeña mi coche es mediano para colmo la puerta de la habitacion estropeada y una hora esperando para que abrieran la habitacion no volveria a ir y no lo recomiendo y las vistas de la habitacion fatal se adjunta foto,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
[DISLIKED] limpieza y dureza de la cama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[LIKED] Beds are very comfortable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[DISLIKED] El hotel está en renovación así que había muchísimo ruido cosa que nadie nos avisó que iba a pasar al igual que las personas del staff eran personas que tenían de muy mala manera no lo hacían con buena gana y aparte te respondía mal El hotel está en renovación así que había muchísimo ruido cosa que nadie nos avisó que iba a pasar al igual que las personas del staff eran personas que tenían de muy mala manera no lo hacían con buena gana y aparte te respondían mal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] Kamer een beetje klein maar functioneel en comfortabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"[DISLIKED] Internet était mauvais, j'ai demandé des oreillers supplémentaires et ils sentaient la marche, l'endroit est si petit qu'on entend tout ce qui se passe autour de soi, puis on entend le voisin de la chambre arriver à 3h du matin et à 6h du matin ils préparent le petit-déjeuner. Le WiFi était très instable.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[DISLIKED] The room was far to hot it was very uncomfortable and the air con was stuck at one temp not allowing a change the room was claustrophobic and there s no tea or coffee making facilities the shower leaked into the main room and made the floor of the bedroom soaking wet the window looked directly out to someone else s room so as a result had to always keep the blind Down for privacy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
[LIKED] Das Personal war Nett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] La taille de la chambre et puis c est trop cher pour la qualité de la chambre très ancien et moche,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"[DISLIKED] L'unica cosa che non mi è piaciuta è stato il rumore delle strutture durante la notte, si sentivano molto i tubi delle altre stanze.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"[DISLIKED] La colazione è molto leggera, non c'è davvero molta scelta per un hotel di questa categoria. Per il prezzo possiamo aspettarci molto meglio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[DISLIKED] In de badkamer was de afvoerafdekking eraf en dit gaf een slecht imago voor een 4-sterrenhotel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"[LIKED] Ha una buona posizione, essendo tra la fontana dei decibel e la zona sicura dell'angelo dell'indipendenza",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] La colazione non è fornita a causa delle condizioni sanitarie. C'è un piccolo spazio tra il bagno e la doccia.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] De locatie dicht bij de luchthaven. Het was niet veel moeite om een ​​parkeerplaats in de buurt te vinden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[DISLIKED] the bed wasn t very comfortable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[DISLIKED] la limpieza y la dureza de la cama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
[DISLIKED] La habitación Hacía un calor INSOPORTABLE y aunque bajaras el termostato a mínimos incluso a 18 grados la temperatura de la habitación no bajaba de 29 grados El parking horrible y además el ascensor a la planta -2 no funcionaba por lo que tuve que ir con mis maletas a la planta -1 a través de un ascensor de servicio para posteriormente bajar por la rampa de los coches en dirección prohibida,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
[LIKED] niets echt goedkoops dekt het,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"[DISLIKED] El internet era deficiente, pedí almohadas extra y olían a caminar, el alojamiento es tan pequeño que escuchas todo lo que sucede a tu alrededor, luego escuchas al compañero de cuarto llegar a las 3 am y preparar el desayuno a las 6 am. El WiFi se sentía muy inestable.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[LIKED] No es posible que te tenga que suplicar mi REEMBOLSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] Die Kosten für Lebensmittel sind hoch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[LIKED] Le personnel la gentillesse la disponibilité,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"[DISLIKED] Das Internet war schlecht, ich bat um zusätzliche Kissen und sie rochen nach Laufen, die Unterkunft ist so klein, dass man alles hört, was um einen herum passiert, so dass man um 3 Uhr morgens hört, wie der Zimmernachbar ankommt und um 6 Uhr das Frühstücksessen zubereitet. Das WLAN fühlte sich sehr instabil an.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[DISLIKED] Ik vond het niet leuk dat we de kamer op de eerste verdieping hadden. Ik ging het balkon op en stond meteen op straat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[LIKED] so clean and an added bonus of a full size fridge and dishwasher,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] Es war sehr laut Die Klimaanlage hat nicht gut oder gar nicht funktioniert so haben wir mit offenem Fenster geschlafen Der 2 Aufzug hat nicht funktioniert und so wartete man durchaus mal 10-15 Minuten Mit Rollstuhl unglücklich,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
[LIKED] POOL HOT TUB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Ubicación bien Comida de 8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
[LIKED] De badkamer was oké. Er was een magnetron en koelkast in de kamer.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Accueil chaleureux et bienveillant chambre très confortable et très bien insonorisée Ma fille a séjourné pour passer un concours grâce au professionnalisme et à l empathie du personnel elle était bien préparée Les produits de soin Fragonard ont été très appréciés,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
[LIKED] La salle de bain était bonne. La chambre avait un réfrigérateur et un micro-ondes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] le lit était vraiment inconfortable _x000D_le lit double était coupé en deux du coup au milieu c était pas du tout confort je suis relativement déçu pas cela,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[LIKED] Niet gezond. Het was te vettig. Ik moest wat weefsel pakken om de olie eruit te persen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[DISLIKED] je n ai pas pu choisir ma chambre et le bar fermé tôt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[DISLIKED] Le camere potrebbero essere un po' più grandi. Non raccomandato per persone con difficoltà motorie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[LIKED] Cerca de reforma y limpio,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[LIKED] El baño fue remodelado y limpio.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Het kostte hen 2 uur om mijn kamer af te leveren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[LIKED] Uitstekende locatie_x000D_Zeer goede prijs-kwaliteitverhouding. Ontbijt gratis voor kinderen onder de 12 jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[LIKED] Redelijke selectie Erg druk Moeilijk om een ​​schone tafel te vinden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] La habitación no se limpió a fondo La alfombra del dormitorio y el piso del baño nunca se aspiraron ni se limpiaron a fondo antes o durante la estadía. Los estantes de vidrio del baño también estaban constantemente llenos de polvo.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] les petits déjeuner peuvent être améliorés,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[DISLIKED] Geen airconditioning _x000D_ Gekke hitte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] bedden slecht geluiddicht,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[DISLIKED] gli addetti alle pulizie entravano nel pavimento vicino alla mia porta ogni 5 minuti Questo faceva rimbalzare la porta e faceva un forte rumore ogni volta che aprivano la porta delle scale del personale gli addetti alle pulizie si riunivano anche fuori dalla porta e chiacchieravano non proprio bene mentre cercavo di dormire di giorno lavorando di notte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[LIKED] Dicht bij renovatie en schoon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] La localización ya hemos estado otras veces Está limpio,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[LIKED] El personal muy bien educados serviciales un buen equipo pendiente de todo la cena y desayuno fabuloso todo muy rico y bien presentado el personal de cafeteria restaurante impresionantes gracias por la atencion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[DISLIKED] Un bémol pour la salle du petit déjeuner trop petite et tristounette Heureusement par beau temps le petit déjeuner peut être pris dans une jolie petite cour intérieure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] todo fue perfecto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Kleine kamer slecht ingerichte vuile muur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[DISLIKED] Sale et petit beaucoup de poussiere dans la chambre bien que ce soit une des chambres les plus chères de l hôtel L hôtelier avait fait le prélèvement sur ma carte bancaire avant mon arrivée La taxe de séjour prélevée me semble exagérée car j étais avec un enfant,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
[DISLIKED] Het hotel is overal op de een of andere manier vies en armoedig,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Pulizia e comfort,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Le lit était confortable et l hôtel bien situé,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Le camere sono sempre un po' piccole a Parigi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[LIKED] la posizione e l'arredamento,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] El personal de recepción y de desayunos muy amables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[LIKED] Room with the city view was lovely Really nice decor and a comfortable bed Loved the large shower too,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
[DISLIKED] Brandalarm om 5 uur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Le stationnement est payant par nuit et il y a un bruit excessif dans les chambres. Vous pouvez entendre l'alarme du téléphone portable lorsque quelqu'un allume la télévision ou la douche.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[LIKED] The bathroom was okay. There was a microwave and refrigerator in the room.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] El desayuno excelente la ubicacion buena la cama tambien en general todo estaba bastante bien,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"[LIKED] Ristorante terribile, zuppa molto salata, caffè tiepido",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[LIKED] Temperatura de la habitación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] Had to park my motorcycle a little way away but that would have been the case with any hotel in London - not may have car parks Other than that nothing to complain about at all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[DISLIKED] Internet was erg slecht, ik vroeg om extra kussens en ze roken van het lopen, de plaats is zo klein dat je alles hoort wat er om je heen gebeurt, dan hoor je om 3 uur 's ochtends dat de buurman van de kamer arriveert en om 6 uur maken ze het eten klaar voor het ontbijt. De wifi leek erg onstabiel.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[LIKED] El trato del personal y el bufet del desayuno,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"[DISLIKED] Purtroppo, a causa della situazione, il ristorante sottostante non è più aperto la mattina, quindi non è disponibile la colazione diretta. A Mitte purtroppo non ci sono molte buone opzioni che aprono molto presto",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Lo cerca al centro histórico,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] No todas las habitaciones tienen ventanas y no tienen abanicos disponibles para todos los cuartos por lo que en días de calor se siente sofocante Durante nuestra estancia el hotel estaba lleno y la habitación no tenia ni toallas en el baño tuvieron que irlas a comprar en la mañana y fue un tedioso tener que esperar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
[LIKED] Hotel con decoración clásica La planta baja muy bonita salas bar restaurante todo muy acogedor Cama cómoda lavabo amplio Muy buena ubicación zona tranquila,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
[DISLIKED] manque de parking_x000D_place de parking très rare dans les rues environnantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[DISLIKED] Das Bad ist verbeserungswürdig-- wo gibt es noch zwei Mischhebel_x000D_Die Frühstücksregel unter Corona ist unzumutbar andere Hotels haben es besser gelöst,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
[LIKED] La limpieza de la habitación y la seguridad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[DISLIKED] Se nota que el hotel es antiguo las ventanas no cierran bien por lo que entra bastante frío por la noche y la calefacción no funciona Los colchones y las almohadas deberían ser renovados,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"[DISLIKED] The internet was bad and I asked for an extra pillow, but it smelled like walking. The place is very small so you can hear everything going on around you. So you can hear your room neighbors arriving at 3am and preparing breakfast at 6am. Wi-Fi felt very unstable.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[LIKED] Lage und Sauberkeit,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] Chambre pas nettoyée à fond La moquette de la chambre et le sol de la salle de bain n'ont pas été soigneusement aspirés ni nettoyés avant ou pendant notre séjour. Les étagères en verre de la salle de bain étaient toujours couvertes de poussière.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[DISLIKED] There wasn t much toiletries which was disappointing No toothpaste free tooth brush pamper kit etc No Netflix which was bad because their wasnt much entertainment on the TV The 100 pounds deposit for damages wasn t refunded immediately It took 4 working days for the money to be refunded Which was annoying If you are looking to go out a lot the location of the hotel may not be convenient because I had to spend a lot of money on taxi because the hotel was at the outskirts of London,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
[DISLIKED] Non c'era una presa vicino al letto per caricare il telefono.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[DISLIKED] Afval in de badkamer en een oorbel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Cama cómoda y temperatura buena,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
[LIKED] Me encanto la originalidad de la decoración de las habitaciones el silencio en ella y la comodidad de la cama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
[LIKED] Die absolut zentrale Lage,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[LIKED] Badly run down Room stinks of drains It looked very tired in need of a update,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
